iter	MultiClass
0	1.553037402
1	1.349027697
2	1.214757934
3	1.117378957
4	1.03515138
5	0.9734940384
6	0.9162140671
7	0.8711062623
8	0.8325586244
9	0.8036683337
10	0.7764735811
11	0.7530353641
12	0.7308633076
13	0.7136025785
14	0.6985636081
15	0.6829138614
16	0.6718330378
17	0.6601550171
18	0.6510179158
19	0.6420403384
20	0.6334178772
21	0.6272233545
22	0.6199985792
23	0.6131157643
24	0.6069822184
25	0.5997056267
26	0.5950917081
27	0.5924083116
28	0.5874764366
29	0.5817180401
30	0.5785966525
31	0.5730367946
32	0.5691548527
33	0.5657231777
34	0.5619550091
35	0.559203161
36	0.5561115218
37	0.5522968864
38	0.5486681069
39	0.5466638968
40	0.5448336739
41	0.5430636524
42	0.5408470546
43	0.5397384345
44	0.5372551993
45	0.5353959514
46	0.5315503244
47	0.5290485172
48	0.5271392328
49	0.5254498281
50	0.5229449653
51	0.5212880032
52	0.5198654246
53	0.5177046663
54	0.5158350443
55	0.5137666813
56	0.5117487984
57	0.5082648685
58	0.5058120107
59	0.5037070147
60	0.5021605001
61	0.4992154172
62	0.4967108055
63	0.4946790199
64	0.4936212444
65	0.4913957102
66	0.4897100495
67	0.4883005529
68	0.4867838894
69	0.4848904407
70	0.4826271355
71	0.4811958951
72	0.4792603079
73	0.4779343586
74	0.4764790217
75	0.4744432297
76	0.4730052566
77	0.4711417522
78	0.4697650329
79	0.4677315735
80	0.4660085268
81	0.4645336999
82	0.4630805077
83	0.461274039
84	0.4600233324
85	0.4588058833
86	0.4572012766
87	0.4563306925
88	0.4550075631
89	0.4531635951
90	0.4515087297
91	0.4501314962
92	0.4482285959
93	0.4467555847
94	0.4450788679
95	0.4439619433
96	0.4428053207
97	0.4416435451
98	0.4405906351
99	0.4393545643
