iter	Passed	Remaining
0	96	9518
1	143	7026
2	186	6043
3	225	5402
4	262	4989
5	301	4727
6	350	4653
7	397	4575
8	446	4517
9	488	4394
10	529	4286
11	577	4235
12	620	4155
13	659	4054
14	694	3933
15	738	3877
16	781	3813
17	828	3774
18	869	3707
19	908	3634
20	946	3560
21	986	3498
22	1027	3438
23	1063	3368
24	1105	3317
25	1143	3253
26	1188	3214
27	1249	3212
28	1311	3211
29	1349	3148
30	1387	3088
31	1428	3036
32	1472	2989
33	1513	2937
34	1553	2885
35	1592	2831
36	1628	2772
37	1672	2728
38	1717	2687
39	1758	2637
40	1802	2594
41	1845	2549
42	1885	2499
43	1925	2450
44	1964	2401
45	2003	2351
46	2038	2299
47	2083	2256
48	2127	2214
49	2169	2169
50	2210	2124
51	2248	2075
52	2283	2024
53	2324	1979
54	2362	1933
55	2402	1887
56	2437	1839
57	2476	1793
58	2518	1750
59	2556	1704
60	2589	1655
61	2625	1609
62	2663	1564
63	2702	1520
64	2736	1473
65	2778	1431
66	2819	1388
67	2860	1345
68	2903	1304
69	2939	1259
70	2982	1218
71	3027	1177
72	3072	1136
73	3115	1094
74	3162	1054
75	3202	1011
76	3243	968
77	3281	925
78	3323	883
79	3366	841
80	3410	799
81	3450	757
82	3485	713
83	3528	672
84	3571	630
85	3613	588
86	3654	546
87	3693	503
88	3729	460
89	3774	419
90	3818	377
91	3863	335
92	3904	293
93	3948	252
94	3984	209
95	4025	167
96	4070	125
97	4111	83
98	4149	41
99	4187	0
